performanceid,employeeid,reviewdate,environmentsatisfaction,jobsatisfaction,relationshipsatisfaction,trainingopportunitieswithinyear,trainingopportunitiestaken,worklifebalance,selfrating,managerrating,performance_gap,review_year,rating_category,worklife_balance_category,training_flag,satisfaction_score
PR01,79F7-78EC,2013-01-02,5,4,5,1,0,4,4,4,0,2013,Medium,Good,1,4.5
PR02,B61E-0F26,2013-01-03,5,4,4,1,3,4,4,3,-1,2013,Medium,Good,1,4.5
PR03,F5E3-48BB,2013-01-03,3,4,5,3,2,3,5,4,-1,2013,High,Average,1,3.5
PR04,0678-748A,2013-01-04,5,3,2,2,0,2,3,2,-1,2013,Medium,Poor,1,4.0
PR05,541F-3E19,2013-01-04,5,2,3,1,0,4,4,3,-1,2013,Medium,Good,1,3.5
PR06,F93E-BDEF,2013-01-04,3,3,2,2,0,4,4,4,0,2013,Medium,Good,1,3.0
PR07,9E7A-1F70,2013-01-08,3,4,5,2,1,5,4,3,-1,2013,Medium,,1,3.5
PR08,05ED-92F1,2013-01-10,4,5,4,1,1,3,3,2,-1,2013,Medium,Average,1,4.5
PR09,F72D-261D,2013-01-10,4,5,2,1,1,4,5,4,-1,2013,High,Good,1,4.5
PR10,774E-685D,2013-01-11,5,4,3,2,3,4,5,4,-1,2013,High,Good,1,4.5
PR100,B013-7D0C,2013-04-10,4,3,3,2,0,4,3,3,0,2013,Medium,Good,1,3.5
PR1000,528C-3E0D,2016-03-16,4,4,2,2,2,4,5,5,0,2016,High,Good,1,4.0
PR1001,D077-169C,2016-03-17,3,5,3,2,2,3,5,5,0,2016,High,Average,1,4.0
PR1002,9727-BC84,2016-03-18,4,3,3,2,2,2,4,3,-1,2016,Medium,Poor,1,3.5
PR1003,DA8E-9496,2016-03-18,3,5,4,1,0,5,5,5,0,2016,High,,1,4.0
PR1004,DEC5-9319,2016-03-18,3,4,3,2,3,2,4,4,0,2016,Medium,Poor,1,3.5
PR1005,88B8-EB84,2016-03-19,3,4,2,3,1,4,5,5,0,2016,High,Good,1,3.5
PR1006,9C57-828C,2016-03-19,5,4,2,1,1,2,3,3,0,2016,Medium,Poor,1,4.5
PR1007,E1B4-9AA1,2016-03-22,5,4,3,3,2,3,4,3,-1,2016,Medium,Average,1,4.5
PR1008,3CD6-5587,2016-03-23,5,4,2,2,0,4,4,3,-1,2016,Medium,Good,1,4.5
PR1009,BAFA-86DF,2016-03-23,3,3,4,2,1,2,3,3,0,2016,Medium,Poor,1,3.0
PR101,152E-8DB1,2013-04-12,5,2,5,1,0,5,5,4,-1,2013,High,,1,3.5
PR1010,C6D7-A568,2016-03-23,4,2,3,3,0,2,4,4,0,2016,Medium,Poor,1,3.0
PR1011,5160-53BD,2016-03-24,4,2,5,1,2,2,5,5,0,2016,High,Poor,1,3.0
PR1012,81FF-8D6C,2016-03-24,3,4,3,2,0,4,5,4,-1,2016,High,Good,1,3.5
PR1013,84E7-02D4,2016-03-25,3,5,3,1,1,4,3,3,0,2016,Medium,Good,1,4.0
PR1014,6010-A052,2016-03-25,3,3,3,2,1,5,5,5,0,2016,High,,1,3.0
PR1015,6176-3BEE,2016-03-27,5,3,2,2,0,5,5,4,-1,2016,High,,1,4.0
PR1016,47A0-559B,2016-03-27,3,5,3,3,0,2,3,3,0,2016,Medium,Poor,1,4.0
PR1017,A954-6310,2016-03-27,4,3,4,2,1,5,4,3,-1,2016,Medium,,1,3.5
PR1018,C525-8BB9,2016-03-27,3,4,4,1,2,3,4,3,-1,2016,Medium,Average,1,3.5
PR1019,9AAB-DCD0,2016-03-28,4,4,2,2,1,5,5,4,-1,2016,High,,1,4.0
PR102,52CC-3E9E,2013-04-13,3,3,3,3,1,5,3,3,0,2013,Medium,,1,3.0
PR1020,00E4-3D60,2016-03-29,3,3,5,3,0,3,5,4,-1,2016,High,Average,1,3.0
PR1021,03C5-51AD,2016-03-30,4,4,3,2,0,4,5,4,-1,2016,High,Good,1,4.0
PR1022,A807-DE5D,2016-03-30,3,5,4,3,2,5,3,3,0,2016,Medium,,1,4.0
PR1023,DD04-BDF8,2016-03-30,5,4,2,2,0,2,4,3,-1,2016,Medium,Poor,1,4.5
PR1024,8FD9-AA59,2016-03-31,5,2,5,1,1,2,5,4,-1,2016,High,Poor,1,3.5
PR1025,86E2-73D1,2016-03-31,5,3,2,2,0,2,4,3,-1,2016,Medium,Poor,1,4.0
PR1026,1A6D-AF5D,2016-04-01,3,4,5,3,2,5,3,2,-1,2016,Medium,,1,3.5
PR1027,0210-E0D8,2016-04-02,4,2,2,2,1,4,4,4,0,2016,Medium,Good,1,3.0
PR1028,07B2-D67A,2016-04-02,4,4,5,3,1,4,5,4,-1,2016,High,Good,1,4.0
PR1029,819A-2C9C,2016-04-02,5,5,3,3,0,3,4,3,-1,2016,Medium,Average,1,5.0
PR103,C5C2-985F,2013-04-14,3,2,5,3,1,5,4,4,0,2013,Medium,,1,2.5
PR1030,B6EC-313E,2016-04-03,5,4,5,2,1,4,5,5,0,2016,High,Good,1,4.5
PR1031,0D8F-C0F3,2016-04-05,4,2,4,2,2,3,5,5,0,2016,High,Average,1,3.0
PR1032,1799-5B3F,2016-04-05,5,5,5,3,0,4,3,2,-1,2016,Medium,Good,1,5.0
PR1033,3B11-DF28,2016-04-05,5,3,5,3,1,2,4,4,0,2016,Medium,Poor,1,4.0
PR1034,076F-8AA3,2016-04-06,3,2,3,3,2,4,4,3,-1,2016,Medium,Good,1,2.5
PR1035,95D7-1CE9,2016-04-08,3,3,2,1,0,2,3,2,-1,2016,Medium,Poor,1,3.0
PR1036,B013-7D0C,2016-04-09,3,5,3,2,0,2,5,5,0,2016,High,Poor,1,4.0
PR1037,531D-788E,2016-04-09,3,3,5,2,1,2,4,4,0,2016,Medium,Poor,1,3.0
PR1038,AEDB-BB62,2016-04-10,4,4,2,3,1,2,4,3,-1,2016,Medium,Poor,1,4.0
PR1039,F430-0404,2016-04-10,4,5,4,2,1,2,3,2,-1,2016,Medium,Poor,1,4.5
PR104,CDFB-6A08,2013-04-14,3,4,4,3,1,5,3,2,-1,2013,Medium,,1,3.5
PR1040,7BD4-7BFB,2016-04-10,5,4,2,2,0,2,5,4,-1,2016,High,Poor,1,4.5
PR1041,152E-8DB1,2016-04-11,5,3,2,1,1,4,3,3,0,2016,Medium,Good,1,4.0
PR1042,1A7C-19DB,2016-04-11,4,5,3,3,0,5,5,4,-1,2016,High,,1,4.5
PR1043,489B-14EC,2016-04-11,5,2,2,2,2,4,3,2,-1,2016,Medium,Good,1,3.5
PR1044,52CC-3E9E,2016-04-12,3,3,4,1,1,3,3,2,-1,2016,Medium,Average,1,3.0
PR1045,A531-8159,2016-04-12,3,3,4,1,2,5,4,4,0,2016,Medium,,1,3.0
PR1046,C5C2-985F,2016-04-13,4,4,4,1,3,3,4,3,-1,2016,Medium,Average,1,4.0
PR1047,CDFB-6A08,2016-04-13,5,5,5,1,3,2,5,5,0,2016,High,Poor,1,5.0
PR1048,5C03-1009,2016-04-13,3,2,5,1,2,5,5,4,-1,2016,High,,1,2.5
PR1049,E899-A860,2016-04-13,5,5,3,1,0,3,3,3,0,2016,Medium,Average,1,5.0
PR105,EE91-1A9C,2013-04-15,3,5,2,3,0,3,4,3,-1,2013,Medium,Average,1,4.0
PR1050,EE91-1A9C,2016-04-14,4,5,2,1,0,2,4,4,0,2016,Medium,Poor,1,4.5
PR1051,7CFC-C4DA,2016-04-14,3,4,4,3,1,4,3,3,0,2016,Medium,Good,1,3.5
PR1052,CF2F-8CA3,2016-04-14,5,2,4,3,0,4,3,2,-1,2016,Medium,Good,1,3.5
PR1053,7A98-768E,2016-04-16,3,5,3,3,1,4,5,5,0,2016,High,Good,1,4.0
PR1054,C3C0-349E,2016-04-16,3,2,2,1,1,2,3,2,-1,2016,Medium,Poor,1,2.5
PR1055,96F4-896C,2016-04-16,5,5,5,3,2,3,3,2,-1,2016,Medium,Average,1,5.0
PR1056,B52E-BF41,2016-04-16,5,4,4,3,0,5,5,4,-1,2016,High,,1,4.5
PR1057,5D69-D350,2016-04-17,5,4,3,2,2,4,5,4,-1,2016,High,Good,1,4.5
PR1058,4BE1-4A7B,2016-04-17,5,3,3,3,1,4,5,4,-1,2016,High,Good,1,4.0
PR1059,AB81-A3A0,2016-04-18,4,3,2,1,1,3,5,5,0,2016,High,Average,1,3.5
PR106,5D69-D350,2013-04-18,3,4,5,3,3,5,5,5,0,2013,High,,1,3.5
PR1060,FD3F-5255,2016-04-19,5,3,2,2,3,2,3,3,0,2016,Medium,Poor,1,4.0
PR1061,C661-6A1C,2016-04-20,5,2,4,3,0,4,5,5,0,2016,High,Good,1,3.5
PR1062,C025-B8B6,2016-04-20,4,5,2,1,0,2,4,3,-1,2016,Medium,Poor,1,4.5
